method,dataset,log_size,precision,recall,F1_measure,parsing_accuracy,iteration_no
IPLoM,HDFS,2,1.0000,1.0000,1.0000,1.0000,2
IPLoM,HDFS,2,1.0000,1.0000,1.0000,1.0000,3
IPLoM,HDFS,2,1.0000,1.0000,1.0000,1.0000,4
IPLoM,HDFS,2,1.0000,1.0000,1.0000,1.0000,5
IPLoM,HDFS,2,1.0000,1.0000,1.0000,1.0000,6
IPLoM,HDFS,2,1.0000,1.0000,1.0000,1.0000,7
IPLoM,HDFS,2,1.0000,1.0000,1.0000,1.0000,8
IPLoM,HDFS,2,1.0000,1.0000,1.0000,1.0000,9
IPLoM,HDFS,2,1.0000,1.0000,1.0000,1.0000,10
IPLoM,Apache,2,1.0000,1.0000,1.0000,1.0000,1
IPLoM,Apache,2,1.0000,1.0000,1.0000,1.0000,2
IPLoM,Apache,2,1.0000,1.0000,1.0000,1.0000,3
IPLoM,Apache,2,1.0000,1.0000,1.0000,1.0000,4
IPLoM,Apache,2,1.0000,1.0000,1.0000,1.0000,5
IPLoM,Apache,2,1.0000,1.0000,1.0000,1.0000,6
IPLoM,Apache,2,1.0000,1.0000,1.0000,1.0000,7
IPLoM,Apache,2,1.0000,1.0000,1.0000,1.0000,8
IPLoM,Apache,2,1.0000,1.0000,1.0000,1.0000,9
IPLoM,Apache,2,1.0000,1.0000,1.0000,1.0000,10
IPLoM,HPC,2,0.9578,0.9999,0.9784,0.8290,1
IPLoM,HPC,2,0.9578,0.9999,0.9784,0.8290,2
IPLoM,HPC,2,0.9578,0.9999,0.9784,0.8290,3
IPLoM,HPC,2,0.9578,0.9999,0.9784,0.8290,4
IPLoM,HPC,2,0.9578,0.9999,0.9784,0.8290,5
IPLoM,HPC,2,0.9578,0.9999,0.9784,0.8290,6
IPLoM,HPC,2,0.9578,0.9999,0.9784,0.8290,7
IPLoM,HPC,2,0.9578,0.9999,0.9784,0.8290,8
IPLoM,HPC,2,0.9578,0.9999,0.9784,0.8290,9
IPLoM,HPC,2,0.9578,0.9999,0.9784,0.8290,10
IPLoM,Windows,2,0.9893,1.0000,0.9946,0.5660,1
IPLoM,Windows,2,0.9893,1.0000,0.9946,0.5660,2
IPLoM,Windows,2,0.9893,1.0000,0.9946,0.5660,3
IPLoM,Windows,2,0.9893,1.0000,0.9946,0.5660,4
IPLoM,Windows,2,0.9893,1.0000,0.9946,0.5660,5
IPLoM,Windows,2,0.9893,1.0000,0.9946,0.5660,6
IPLoM,Windows,2,0.9893,1.0000,0.9946,0.5660,7
IPLoM,Windows,2,0.9893,1.0000,0.9946,0.5660,8
IPLoM,Windows,2,0.9893,1.0000,0.9946,0.5660,9
IPLoM,Windows,2,0.9893,1.0000,0.9946,0.5660,10
IPLoM,HealthApp,2,0.9600,0.9563,0.9581,0.8215,1
IPLoM,HealthApp,2,0.9600,0.9563,0.9581,0.8215,2
IPLoM,HealthApp,2,0.9600,0.9563,0.9581,0.8215,3
IPLoM,HealthApp,2,0.9600,0.9563,0.9581,0.8215,4
IPLoM,HealthApp,2,0.9600,0.9563,0.9581,0.8215,5
IPLoM,HealthApp,2,0.9600,0.9563,0.9581,0.8215,6
IPLoM,HealthApp,2,0.9600,0.9563,0.9581,0.8215,7
IPLoM,HealthApp,2,0.9600,0.9563,0.9581,0.8215,8
IPLoM,HealthApp,2,0.9600,0.9563,0.9581,0.8215,9
IPLoM,HealthApp,2,0.9600,0.9563,0.9581,0.8215,10
IPLoM,Spark,2,0.9839,1.0000,0.9919,0.9200,1
IPLoM,Spark,2,0.9839,1.0000,0.9919,0.9200,2
